year,naics_4,dherfindahl
2001,111339,-.012157321
2002,111339,.00061908364
2003,111339,-.017560422
2004,111339,-.0054540932
2005,111339,-.006647408
2006,111339,.0010352433
2007,111339,.0062966347
2008,111339,.02109319
2009,111339,-.011885673
2010,111339,.0057144761
2011,111339,.0074974
2012,111339,-.045279086
2013,111339,.16473481
2014,111339,.49568528
2015,111339,0
2001,212313,1.1920929e-07
2002,212313,0
2003,212313,-1.1920929e-07
2004,212313,1.1920929e-07
2005,212313,0
2006,212313,0
2007,212313,0
2008,212313,0
2009,212313,0
2010,212313,-1.1920929e-07
2011,212313,1.1920929e-07
2012,212313,0
2013,212313,0
2014,212313,0
2015,212313,-1.1920929e-07
2001,221118,0
2002,221118,-1.1920929e-07
2003,221118,1.1920929e-07
2004,221118,0
2005,221118,0
2006,221118,0
2007,221118,0
2008,221118,0
2009,221118,0
2010,221118,0
2011,221118,0
2012,221118,0
2013,221118,-1.1920929e-07
2014,221118,1.1920929e-07
2015,221118,-.0098100901
2001,236210,0
2002,236210,0
2003,236210,0
2004,236210,0
2005,236210,0
2006,236210,0
2007,236210,0
2008,236210,0
2009,236210,0
2010,236210,0
2011,236210,0
2012,236210,-1.1920929e-07
2013,236210,0
2014,236210,1.1920929e-07
2015,236210,0
2001,237120,.1166649
2002,237120,.08913821
2003,237120,-.0035857558
2004,237120,.020967811
2005,237120,-.08728832
2006,237120,.013939321
2007,237120,.027407318
2008,237120,-.090258658
2009,237120,.039995879
2010,237120,-.059453338
2011,237120,-.022344843
2012,237120,.050960258
2013,237120,-.055773869
2014,237120,.038986161
2015,237120,.17852741
2001,237310,-.038428575
2002,237310,-.018394649
2003,237310,-.014561027
2004,237310,-.008683145
2005,237310,.0059173107
2006,237310,.019517988
2007,237310,.04965049
2008,237310,.0014207363
2009,237310,-.011635274
2010,237310,.011725724
2011,237310,-.0062325597
2012,237310,-.014778644
2013,237310,.0093536973
2014,237310,-.025318563
2015,237310,.012598485
2001,237990,.011048257
2002,237990,.040766329
2003,237990,.001554817
2004,237990,-.039824009
2005,237990,-.10788563
2006,237990,.10924265
2007,237990,-.0299896
2008,237990,-.021035284
2009,237990,.0029114783
2010,237990,.042015165
2011,237990,-.016150177
2012,237990,-.012373894
2013,237990,-.029161483
2014,237990,-.0099388361
2015,237990,-.00753811
2001,238210,-.0092355609
2002,238210,.035728872
2003,238210,.08037433
2004,238210,-.046189815
2005,238210,-.023833483
2006,238210,.0030947626
2007,238210,.023838222
2008,238210,.032301933
2009,238210,-.017208278
2010,238210,.0065559149
2011,238210,-.00055015087
2012,238210,.0085595846
2013,238210,-.0096519887
2014,238210,.014931053
2015,238210,.038960457
2001,238220,-.090358377
2002,238220,-.093312681
2003,238220,.013698399
2004,238220,.17653728
2005,238220,0
2006,238220,0
2007,238220,-1.1920929e-07
2008,238220,1.1920929e-07
2009,238220,0
2010,238220,0
2011,238220,0
2012,238220,-.014751434
2013,238220,.014751315
2014,238220,1.1920929e-07
2015,238220,0
2001,311221,-.035671711
2002,311221,-.0077036619
2003,311221,.0016309023
2004,311221,.0027492046
2005,311221,-.0031222701
2006,311221,.0051363111
2007,311221,.015973806
2008,311221,-.0061997175
2009,311221,.019400775
2010,311221,-.012519419
2011,311221,.014335752
2012,311221,.0078913569
2013,311221,-.0065056086
2014,311221,.0067704916
2015,311221,.14195305
2001,311313,.027323246
2002,311313,.0038594007
2003,311313,.0068323612
2004,311313,-.13456351
2005,311313,-.016268492
2006,311313,-.022165656
2007,311313,.04564625
2008,311313,.00996387
2009,311313,-.031892538
2010,311313,-.016622722
2011,311313,.038765132
2012,311313,-.0088425875
2013,311313,.03254652
2014,311313,.38317752
2015,311313,0
2001,311511,.45318273
2002,311511,.0090923905
2003,311511,.039345622
2004,311511,.00022256374
2005,311511,-.00081133842
2006,311511,-.0016419888
2007,311511,-.0010493994
2008,311511,-.00057959557
2009,311511,-.0032199621
2010,311511,.00075054169
2011,311511,-.23356104
2012,311511,-.048737466
2013,311511,-.062143445
2014,311511,-.047076344
2015,311511,-.046800911
2001,311613,0
2002,311613,0
2003,311613,0
2004,311613,-1.1920929e-07
2005,311613,1.1920929e-07
2006,311613,0
2007,311613,0
2008,311613,0
2009,311613,0
2010,311613,0
2011,311613,0
2012,311613,0
2013,311613,0
2014,311613,0
2015,311613,0
2001,311911,0
2002,311911,0
2003,311911,0
2004,311911,-1.1920929e-07
2005,311911,1.1920929e-07
2006,311911,0
2007,311911,-.22867143
2008,311911,-.086911798
2009,311911,-.015034199
2010,311911,-.041245818
2011,311911,.0067846775
2012,311911,-.014777422
2013,311911,.029238939
2014,311911,.0092264414
2015,311911,.027091384
2001,311942,.0069692135
2002,311942,-.00027871132
2003,311942,-.0034223795
2004,311942,-.0096821785
2005,311942,.028504133
2006,311942,0
2007,311942,0
2008,311942,0
2009,311942,0
2010,311942,0
2011,311942,0
2012,311942,0
2013,311942,0
2014,311942,0
2015,311942,-1.1920929e-07
2001,313110,0
2002,313110,0
2003,313110,0
2004,313110,0
2005,313110,0
2006,313110,0
2007,313110,0
2008,313110,0
2009,313110,-1.1920929e-07
2010,313110,1.1920929e-07
2011,313110,0
2012,313110,0
2013,313110,0
2014,313110,0
2015,313110,0
2001,313210,.0060459673
2002,313210,-.013318755
2003,313210,.029505245
2004,313210,.068713844
2005,313210,.027556568
2006,313210,.023451313
2007,313210,.080029279
2008,313210,-.000641644
2009,313210,-.031161815
2010,313210,.0046219826
2011,313210,-.009973526
2012,313210,-.0065137148
2013,313210,-.0037711561
2014,313210,.033297658
2015,313210,-.0032550395
2001,314110,.035673648
2002,314110,.090748668
2003,314110,.075212657
2004,314110,.02877146
2005,314110,.002735436
2006,314110,.020284534
2007,314110,-.0071850419
2008,314110,-.014964998
2009,314110,.0015113354
2010,314110,-.024431884
2011,314110,-.010295033
2012,314110,.025693238
2013,314110,.029416144
2014,314110,-.003936708
2015,314110,.0045298338
2001,315220,-.0026414692
2002,315220,-.015344471
2003,315220,-.0078501105
2004,315220,.0013532639
2005,315220,-.0047449768
2006,315220,-.0021427274
2007,315220,.012133867
2008,315220,.024459302
2009,315220,-.001485467
2010,315220,-.0011149943
2011,315220,.011591733
2012,315220,.018346727
2013,315220,.006074667
2014,315220,.042497814
2015,315220,-.0016020536
2001,315240,-.030933738
2002,315240,.028737456
2003,315240,.030719995
2004,315240,-.031303525
2005,315240,-.045455307
2006,315240,-.033587903
2007,315240,.030430198
2008,315240,-.0088742077
2009,315240,.0041676462
2010,315240,-.011772245
2011,315240,-.033271939
2012,315240,-.037729353
2013,315240,-.0060892105
2014,315240,-.0069902539
2015,315240,.0063628554
2001,315280,.0070851743
2002,315280,.008590579
2003,315280,.022627205
2004,315280,.059114248
2005,315280,.0097715855
2006,315280,.014499635
2007,315280,-.037582695
2008,315280,-.06055662
2009,315280,-.016543984
2010,315280,-.035540372
2011,315280,-.0063142478
2012,315280,-.0033979714
2013,315280,-.0041717887
2014,315280,.0052117407
2015,315280,.022239
2001,315990,.03270328
2002,315990,-.055081367
2003,315990,.0032315254
2004,315990,.022164106
2005,315990,.034066081
2006,315990,-.00073671341
2007,315990,.0069293976
2008,315990,-.08475697
2009,315990,.014034748
2010,315990,.0048968792
2011,315990,-.02687788
2012,315990,-.021857977
2013,315990,-.032883167
2014,315990,.43160796
2015,315990,-.44071066
2001,316210,-.02050817
2002,316210,.010822177
2003,316210,.030631304
2004,316210,.0071634054
2005,316210,-.025850117
2006,316210,-.021419704
2007,316210,.015783608
2008,316210,.022334337
2009,316210,.0099092722
2010,316210,-.02219981
2011,316210,.026905239
2012,316210,.0073754191
2013,316210,.018341422
2014,316210,.0073812008
2015,316210,-.0072228312
2001,321211,0
2002,321211,0
2003,321211,0
2004,321211,0
2005,321211,0
2006,321211,0
2007,321211,-1.1920929e-07
2008,321211,1.1920929e-07
2009,321211,0
2010,321211,0
2011,321211,-1.1920929e-07
2012,321211,1.1920929e-07
2013,321211,0
2014,321211,0
2015,321211,0
2001,321992,-.0072145164
2002,321992,.023573712
2003,321992,.036701605
2004,321992,.068359226
2005,321992,.016226113
2006,321992,.0087323785
2007,321992,-.010783404
2008,321992,.024922162
2009,321992,.040363282
2010,321992,.23449546
2011,321992,-.12751019
2012,321992,.049500227
2013,321992,.031662047
2014,321992,.0027944446
2015,321992,.11290634
2001,322121,.043312818
2002,322121,.081561819
2003,322121,-.016633302
2004,322121,-.026650101
2005,322121,.051235825
2006,322121,-.021562874
2007,322121,-.030625969
2008,322121,-.057574734
2009,322121,.020478874
2010,322121,-.0031497777
2011,322121,.16035883
2012,322121,-.030065835
2013,322121,-.053444237
2014,322121,.030334055
2015,322121,-.043970853
2001,322130,-.017656982
2002,322130,.021794558
2003,322130,-.00078415871
2004,322130,-.011282682
2005,322130,.0053028166
2006,322130,-.014126301
2007,322130,-.059355885
2008,322130,.027225792
2009,322130,.029865086
2010,322130,.0055165589
2011,322130,.18001011
2012,322130,.041648686
2013,322130,-.0045434237
2014,322130,-.063030303
2015,322130,.12830567
2001,322211,-.00028464198
2002,322211,.081847936
2003,322211,-.0096744597
2004,322211,.013228089
2005,322211,.0006967783
2006,322211,.148451
2007,322211,-.000063955784
2008,322211,.0042331815
2009,322211,.0047471523
2010,322211,-.0035657287
2011,322211,.054645002
2012,322211,.079356134
2013,322211,-.040358484
2014,322211,-.066108704
2015,322211,.021289885
2001,322212,.0042605698
2002,322212,.0011153221
2003,322212,.44863516
2004,322212,.074011207
2005,322212,0
2006,322212,-1.1920929e-07
2007,322212,1.1920929e-07
2008,322212,-1.1920929e-07
2009,322212,0
2010,322212,1.1920929e-07
