year,naics_4,dmarkup
2001,111339,.011806071
2002,111339,.010951996
2003,111339,-.018639982
2004,111339,-.025249958
2005,111339,-.0093408823
2006,111339,-.031656563
2007,111339,.0047891736
2008,111339,.0050476193
2009,111339,.012387991
2010,111339,-.017420828
2011,111339,.0044855475
2012,111339,-.0043970346
2013,111339,-.0031358004
2014,111339,.0015624166
2015,111339,-.0098050237
2001,212313,-.03929925
2002,212313,-.02223742
2003,212313,.0050055981
2004,212313,.02308023
2005,212313,.020459294
2006,212313,.039277792
2007,212313,.050322413
2008,212313,-.048873425
2009,212313,-.0018898249
2010,212313,-.038741589
2011,212313,-.0095496178
2012,212313,-.049201965
2013,212313,.0049372911
2014,212313,.015078664
2015,212313,.042073846
2001,221118,.044515252
2002,221118,.0039923191
2003,221118,.0044665337
2004,221118,.073915362
2005,221118,-.017581224
2006,221118,-.020628214
2007,221118,.042299986
2008,221118,.025477886
2009,221118,.041085124
2010,221118,.029487014
2011,221118,-.087719321
2012,221118,.0055098534
2013,221118,-.056590676
2014,221118,-.038914919
2015,221118,-.031283498
2001,236210,-.00071394444
2002,236210,-.00047492981
2003,236210,.0098974705
2004,236210,.011772752
2005,236210,.0012155771
2006,236210,-.021981478
2007,236210,.024122477
2008,236210,.018431902
2009,236210,-.022949696
2010,236210,.0089213848
2011,236210,.011392236
2012,236210,.012272477
2013,236210,-.0040445328
2014,236210,.015813708
2015,236210,-.00055348873
2001,237120,-.030623913
2002,237120,-.0077129602
2003,237120,-.0050270557
2004,237120,-.014283776
2005,237120,.012451172
2006,237120,.018600583
2007,237120,-.053891182
2008,237120,.03039825
2009,237120,.046220899
2010,237120,.025086284
2011,237120,.010682106
2012,237120,-.03297472
2013,237120,-.045712233
2014,237120,-.021449208
2015,237120,.020723939
2001,237310,.008600831
2002,237310,.02265048
2003,237310,-.0063992739
2004,237310,.00096023083
2005,237310,.023307443
2006,237310,-.017405152
2007,237310,.0028069019
2008,237310,.025703311
2009,237310,-.013767838
2010,237310,-.074425936
2011,237310,.024135232
2012,237310,.0006210804
2013,237310,-.035326719
2014,237310,.027631044
2015,237310,.010755301
2001,237990,.033789635
2002,237990,-.037014484
2003,237990,-.04018712
2004,237990,-.019727468
2005,237990,-.0086227655
2006,237990,.01276505
2007,237990,.013967872
2008,237990,-.027506709
2009,237990,.009469986
2010,237990,.015908599
2011,237990,-.045220375
2012,237990,-.047971606
2013,237990,.060201168
2014,237990,-.003723979
2015,237990,-.028272629
2001,238210,.0013716221
2002,238210,-.037661195
