year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,firmbirth_firms,firmbirth_estabs,firmbirth_emp,firmbirth_rate,firmdeath_rate
1978,3558378,4325029,70141112,67558494,640405,15.1,472395,11.139,14228637,4593741,9634896,6.8,21.061,9064076,3564360,5499716,5.276,13.417,5164561,7.645,26.833,326348,331478,1820180,486456,493546,2545510,0.13670723009191266,0.09171257241361092
1979,3691520,4484880,74603825,72468330,616157,13.971,466802,10.585,13672711,4356672,9316039,6.012,18.867,9396651,3253627,6143024,4.49,12.967,4276060,5.901,25.933,330034,334542,1787799,473343,477649,2420548,0.12822441704230236,0.0894032810332871
1980,3739076,4550299,74985039,74783479,578738,12.81,514155,11.38,11766595,4059305,7707290,5.428,15.734,11365366,3491752,7873614,4.669,15.198,401229,0.537,30.395,369130,374135,1938877,439667,443727,2230247,0.11758707231412252,0.09872225116579604
1981,3768112,4611047,75707261,75335963,586628,12.811,522871,11.418,12123120,4577047,7546073,6.076,16.092,11375394,3487213,7888181,4.629,15.1,747726,0.993,30.199,377121,383413,1998040,430121,432328,2391774,0.11414761556981322,0.10008221623985698
1982,3741696,4616757,74885775,75245261,575099,12.462,570963,12.373,11833257,4227649,7605608,5.618,15.726,12542932,3854042,8688890,5.122,16.669,-709675,-0.943,31.452,406273,412208,2220580,418627,425083,2270738,0.1118816173200602,0.1085799060105364
1983,3830488,4712019,73981735,74414676,624231,13.382,529411,11.35,12223590,4480846,7742744,6.021,16.426,13107031,4109271,8997760,5.522,17.614,-883441,-1.187,32.853,363038,370048,2097192,456593,460859,2588121,0.11919969466031483,0.09477591366948546
1984,4001129,4903678,78739690,76280111,698764,14.531,509075,10.586,14886021,5225059,9660962,6.85,19.515,9963978,3628357,6335621,4.757,13.062,4922043,6.453,26.125,364739,371116,2067677,529586,533954,2918578,0.1323591416322743,0.09115902036650156
1985,4072907,4986158,81691290,80228092,683242,13.817,600463,12.143,14942649,5189724,9752925,6.469,18.625,12015537,4847264,7168273,6.042,14.977,2927112,3.648,29.953,431658,440691,2816090,512398,516849,2968251,0.1258064571570134,0.10598277839390882
1986,4157322,5112167,83737941,82651762,710987,14.083,583658,11.561,14960805,5543131,9417674,6.707,18.101,12780349,4368620,8411729,5.286,15.463,2180456,2.638,30.926,414735,422563,2550865,516927,518900,2970083,0.12434134281636111,0.09976013404783175
1987,4223743,5224172,85856852,85192218,739670,14.312,627528,12.142,16302074,6495453,9806621,7.624,19.136,14972986,5264026,9708960,6.179,17.576,1329088,1.56,35.151,435821,444168,2819308,513548,522108,3393509,0.12158599611766152,0.10318359805509
1988,4307935,5358459,88382744,87193415,738592,13.949,611776,11.554,16361511,6241738,10119773,7.158,18.765,13987957,5097193,8890764,5.846,16.042,2373554,2.722,32.085,425396,435348,2788081,506970,515029,3044893,0.1176828341188992,0.09874707951721648
1989,4381715,5471158,91331567,89867895,723445,13.358,612883,11.316,16256601,5937414,10319187,6.607,18.089,13355410,4986234,8369176,5.548,14.861,2901191,3.228,29.722,429511,441754,2785903,502548,509531,2993211,0.11469207833006026,0.09802349080211743
1990,4445237,5570098,93670458,92586001,700885,12.695,602891,10.92,15499475,5572404,9927071,6.019,16.741,13331548,4564854,8766694,4.93,14.399,2167927,2.342,28.798,433898,444877,2719940,493052,498687,2896304,0.11091692074010902,0.09760964376027645
