year,fage,firms,estabs,emp
1978,0,486456,493546,2545510
1978,1,355229,365696,2345414
1978,Left Censored,2716693,3465787,65250188
1979,0,473343,477649,2420548
1979,1,362567,370480,2444153
1979,2,307997,319246,2311975
1979,Left Censored,2547613,3317505,67427149
1980,0,439667,443727,2230247
1980,1,345827,351243,2199605
1980,2,305159,313854,2188671
1980,3,269860,281971,2167767
1980,Left Censored,2378563,3159504,66198749
1981,0,430121,432328,2391774
1981,1,321409,327082,2107475
1981,2,289730,296374,2054031
1981,3,264979,274760,2060478
1981,4,239408,252660,2088087
1981,Left Censored,2222465,3027843,65005416
1982,0,418627,425083,2270738
1982,1,309384,315805,2199323
1982,2,263892,271426,1883550
1982,3,245302,253506,1856082
1982,4,229809,241346,1909509
1982,5,211288,225682,1940384
1982,Left Censored,2063394,2883909,62826189
1983,0,456593,460859,2588121
1983,1,314215,322189,2093011
1983,2,261034,268703,1996182
1983,3,231117,239738,1751203
1983,4,219086,228033,1726229
1983,5,208688,221437,1814544
1983,6-10,194084,209128,1818233
1983,Left Censored,1945671,2761932,60194212
1984,0,529586,533954,2918578
1984,1,341451,346646,2586770
1984,2,267746,275805,2092513
1984,3,231985,239607,2046481
1984,4,210023,218622,1810055
1984,5,201277,210193,1768949
1984,6-10,375623,403984,3745403
1984,Left Censored,1843438,2674867,61770941
1985,0,512398,516849,2968251
1985,1,392941,398536,2919480
1985,2,283945,289647,2487774
1985,3,235306,243491,2026913
1985,4,208181,216061,1997835
1985,5,190514,199400,1783065
1985,6-10,529774,568496,5488805
1985,Left Censored,1719848,2553678,62019167
1986,0,516927,518900,2970083
1986,1,381094,389316,2874682
1986,2,332078,340689,2773320
1986,3,247211,255845,2294762
1986,4,210685,220869,1973937
1986,5,188646,198218,1937204
1986,6-10,664544,719169,7129532
1986,Left Censored,1616137,2469161,61784421
1987,0,513548,522108,3393509
1987,1,383390,393571,2903766
1987,2,320484,331109,2620346
1987,3,292421,303466,2501041
1987,4,220091,231576,2197801
1987,5,190315,201579,1897412
1987,6-10,787557,856035,8892929
1987,Left Censored,1515937,2384728,61450048
1988,0,506970,515029,3044893
1988,1,380430,390692,3249009
1988,2,331440,343258,2949300
1988,3,279917,291940,2458836
1988,4,263094,276177,2379908
1988,5,198809,211916,2075344
1988,6-10,773121,839203,8770731
1988,11-15,135671,156798,1872562
1988,Left Censored,1438483,2333446,61582161
1989,0,502548,509531,2993211
1989,1,380105,389723,3063388
1989,2,322746,334248,3146793
1989,3,291934,304863,2831654
1989,4,250856,264639,2412538
1989,5,240919,253923,2344281
1989,6-10,769958,836189,9073153
1989,11-15,261688,300758,3650173
1989,Left Censored,1360961,2277284,61816376
1990,0,493052,498687,2896304
1990,1,376103,384793,2943454
1990,2,320143,331526,2870112
1990,3,283375,295956,3049131
1990,4,262224,276306,2717682
1990,5,228244,243008,2347988
1990,6-10,813727,882716,9555369
1990,11-15,375467,429694,5328167
1990,Left Censored,1292902,2227412,61962251
1991,0,450736,455641,2547398
1991,1,363758,373024,2579533
1991,2,312971,323862,2542477
1991,3,275451,289054,2487372
1991,4,250369,265747,2771313
1991,5,235405,252017,2509292
1991,6-10,840188,919518,9573427
1991,11-15,471378,547475,6541567
1991,Left Censored,1212059,2179373,59894937
1992,0,438697,446289,2486672
1992,1,337404,347725,2360189
1992,2,306050,317365,2348962
1992,3,272064,284727,2383936
1992,4,244525,260279,2372395
1992,5,225797,242512,2647934
1992,6-10,875214,957604,9928722
1992,11-15,564094,655009,7958586
1992,Left Censored,1149720,2103729,58946344
1993,0,461076,465079,2540209
1993,1,336934,345450,2600784
1993,2,291401,300562,2235206
1993,3,272005,283278,2279755
1993,4,246288,259963,2325514
1993,5,223627,239344,2323199
1993,6-10,908186,993537,10805200
1993,11-15,558613,641629,7878130
1993,16-20,100215,122707,1651442
1993,Left Censored,1096945,2030159,58456502
1994,0,475987,480959,2687752
1994,1,349743,355190,2486130
1994,2,288970,298406,2449725
1994,3,258039,267690,2141492
1994,4,245470,257259,2204720
1994,5,224459,238908,2256017
1994,6-10,929173,1018467,11341484
1994,11-15,558260,638112,7989680
1994,16-20,195452,238767,3292022
1994,Left Censored,1049469,1995955,58788745
