year,fage,firms,estabs,emp
1978,a) 0,486456,493546,2545510
1978,b) 1,355229,365696,2345414
1978,c) 2,X,X,X
1978,d) 3,X,X,X
1978,e) 4,X,X,X
1978,f) 5,X,X,X
1978,g) 6 to 10,X,X,X
1978,h) 11 to 15,X,X,X
1978,i) 16 to 20,X,X,X
1978,j) 21 to 25,X,X,X
1978,k) 26+,X,X,X
1978,l) Left Censored,2716693,3465787,65250188
1979,a) 0,473343,477649,2420548
1979,b) 1,362567,370480,2444153
1979,c) 2,307997,319246,2311975
1979,d) 3,X,X,X
1979,e) 4,X,X,X
1979,f) 5,X,X,X
1979,g) 6 to 10,X,X,X
1979,h) 11 to 15,X,X,X
1979,i) 16 to 20,X,X,X
1979,j) 21 to 25,X,X,X
1979,k) 26+,X,X,X
1979,l) Left Censored,2547613,3317505,67427149
1980,a) 0,439667,443727,2230247
1980,b) 1,345827,351243,2199605
1980,c) 2,305159,313854,2188671
1980,d) 3,269860,281971,2167767
1980,e) 4,X,X,X
1980,f) 5,X,X,X
1980,g) 6 to 10,X,X,X
1980,h) 11 to 15,X,X,X
1980,i) 16 to 20,X,X,X
1980,j) 21 to 25,X,X,X
1980,k) 26+,X,X,X
1980,l) Left Censored,2378563,3159504,66198749
1981,a) 0,430121,432328,2391774
1981,b) 1,321409,327082,2107475
1981,c) 2,289730,296374,2054031
1981,d) 3,264979,274760,2060478
1981,e) 4,239408,252660,2088087
1981,f) 5,X,X,X
1981,g) 6 to 10,X,X,X
1981,h) 11 to 15,X,X,X
1981,i) 16 to 20,X,X,X
1981,j) 21 to 25,X,X,X
1981,k) 26+,X,X,X
1981,l) Left Censored,2222465,3027843,65005416
1982,a) 0,418627,425083,2270738
1982,b) 1,309384,315805,2199323
1982,c) 2,263892,271426,1883550
1982,d) 3,245302,253506,1856082
1982,e) 4,229809,241346,1909509
1982,f) 5,211288,225682,1940384
1982,g) 6 to 10,X,X,X
1982,h) 11 to 15,X,X,X
1982,i) 16 to 20,X,X,X
1982,j) 21 to 25,X,X,X
1982,k) 26+,X,X,X
1982,l) Left Censored,2063394,2883909,62826189
1983,a) 0,456593,460859,2588121
1983,b) 1,314215,322189,2093011
1983,c) 2,261034,268703,1996182
1983,d) 3,231117,239738,1751203
1983,e) 4,219086,228033,1726229
1983,f) 5,208688,221437,1814544
1983,g) 6 to 10,194084,209128,1818233
